
*** Era  1  ***
=== Predictions on test data ===

  inst# actual  predicted  error prediction
      1   wine2       wine2                  1
      2   wine2       wine2                  1
      3   wine1       wine1                  1
      4   wine1       wine1                  1
      5   wine1       wine1                  1
      6   wine1       wine1                  1
      7   wine1       wine1                  1
      8   wine2       wine2                  1
      9   wine2       wine2                  1
     10   wine1       wine1                  1
     11   wine2       wine2                  1
     12   wine2       wine2                  1
     13   wine1       wine1                  1
     14   wine2       wine2                  1
     15   wine1       wine1                  1
     16   wine1       wine1                  1
     17   wine2       wine2                  1
     18   wine1       wine1                  1
     19   wine2       wine2                  1
     20   wine2       wine2                  1
     21   wine1       wine1                  1
     22   wine2       wine2                  1
     23   wine1       wine1                  1
     24   wine1       wine1                  1
     25   wine2       wine2                  1
     26   wine1       wine1                  1
     27   wine1       wine1                  1
     28   wine2       wine2                  1
     29   wine1       wine1                  1
     30   wine1       wine1                  1
     31   wine2       wine2                  1
     32   wine1       wine1                  1
     33   wine2       wine2                  1
     34   wine2       wine2                  1
     35   wine2       wine2                  1
     36   wine2       wine2                  1
     37   wine2       wine2                  1
     38   wine1       wine1                  1
     39   wine1       wine1                  1
     40   wine1       wine1                  1
     41   wine2       wine1                  0
     42   wine2       wine2                  1
     43   wine1       wine1                  1
     44   wine2       wine2                  1
     45   wine1       wine1                  1
     46   wine1       wine1                  1
     47   wine2       wine2                  1
     48   wine2       wine2                  1
     49   wine1       wine1                  1
     50   wine1       wine1                  1
     51   wine2       wine2                  1
     52   wine2       wine2                  1
     53   wine1       wine1                  1
     54   wine1       wine1                  1
     55   wine2       wine2                  1
     56   wine2       wine1                  0
     57   wine1       wine1                  1
     58   wine2       wine2                  1
     59   wine1       wine1                  1
     60   wine1       wine1                  1
     61   wine2       wine2                  1
     62   wine2       wine2                  1
     63   wine1       wine2                  0
     64   wine1       wine1                  1
     65   wine2       wine2                  1
     66   wine2       wine2                  1
     67   wine2       wine1                  0
     68   wine2       wine2                  1
     69   wine1       wine1                  1
     70   wine1       wine1                  1
     71   wine2       wine2                  1
     72   wine1       wine1                  1
     73   wine1       wine1                  1
     74   wine2       wine2                  1
     75   wine2       wine2                  1
     76   wine2       wine2                  1
     77   wine2       wine2                  1
     78   wine2       wine2                  1
     79   wine2       wine2                  1
     80   wine1       wine1                  1
     81   wine2       wine2                  1
     82   wine2       wine2                  1
     83   wine1       wine1                  1
     84   wine1       wine1                  1
     85   wine1       wine1                  1
     86   wine2       wine2                  1
     87   wine2       wine2                  1
     88   wine1       wine1                  1
     89   wine2       wine2                  1
     90   wine1       wine1                  1
     91   wine2       wine2                  1
     92   wine1       wine1                  1
     93   wine1       wine1                  1
     94   wine1       wine1                  1
     95   wine2       wine2                  1
     96   wine2       wine2                  1
     97   wine1       wine1                  1
     98   wine1       wine1                  1
     99   wine1       wine1                  1
    100   wine2       wine2                  1

*** Era  2  ***
=== Predictions on test data ===

  inst# actual  predicted  error prediction
      1   wine1       wine1                  1
      2   wine1       wine1                  1
      3   wine2       wine2                  1
      4   wine1       wine1                  1
      5   wine2       wine2                  1
      6   wine2       wine2                  1
      7   wine2       wine2                  1
      8   wine1       wine1                  1
      9   wine1       wine1                  1
     10   wine2       wine2                  1
     11   wine1       wine1                  1
     12   wine1       wine1                  1
     13   wine1       wine1                  1
     14   wine2       wine2                  1
     15   wine2       wine2                  1
     16   wine1       wine2                  0
     17   wine1       wine1                  1
     18   wine2       wine2                  1
     19   wine1       wine1                  1
     20   wine1       wine1                  1
     21   wine2       wine2                  1
     22   wine2       wine2                  1
     23   wine2       wine2                  1
     24   wine2       wine2                  1
     25   wine2       wine2                  1
     26   wine2       wine2                  1
     27   wine1       wine1                  1
     28   wine1       wine1                  1
     29   wine2       wine2                  1
     30   wine2       wine2                  1
     31   wine1       wine1                  1
     32   wine1       wine1                  1
     33   wine2       wine2                  1
     34   wine1       wine1                  1
     35   wine2       wine2                  1
     36   wine1       wine1                  1
     37   wine1       wine1                  1
     38   wine1       wine1                  1
     39   wine2       wine2                  1
     40   wine2       wine2                  1
     41   wine1       wine1                  1
     42   wine1       wine1                  1
     43   wine2       wine2                  1
     44   wine1       wine1                  1
     45   wine2       wine2                  1
     46   wine1       wine1                  1
     47   wine1       wine1                  1
     48   wine1       wine1                  1
     49   wine1       wine1                  1
     50   wine1       wine1                  1
     51   wine2       wine2                  1
     52   wine1       wine1                  1
     53   wine1       wine1                  1
     54   wine1       wine1                  1
     55   wine1       wine1                  1
     56   wine1       wine1                  1
     57   wine2       wine2                  1
     58   wine2       wine2                  1
     59   wine1       wine1                  1
     60   wine1       wine1                  1
     61   wine2       wine2                  1
     62   wine2       wine2                  1
     63   wine2       wine2                  1
     64   wine2       wine2                  1
     65   wine1       wine1                  1
     66   wine1       wine1                  1
     67   wine2       wine2                  1
     68   wine2       wine2                  1
     69   wine1       wine1                  1
     70   wine2       wine2                  1
     71   wine2       wine2                  1
     72   wine1       wine1                  1
     73   wine1       wine1                  1
     74   wine2       wine2                  1
     75   wine2       wine2                  1
     76   wine2       wine2                  1
     77   wine1       wine1                  1
     78   wine2       wine2                  1
     79   wine1       wine1                  1
     80   wine2       wine2                  1
     81   wine1       wine1                  1
     82   wine2       wine2                  1
     83   wine2       wine2                  1
     84   wine1       wine1                  1
     85   wine2       wine2                  1
     86   wine2       wine2                  1
     87   wine2       wine2                  1
     88   wine1       wine1                  1
     89   wine2       wine2                  1
     90   wine1       wine2                  0
     91   wine1       wine1                  1
     92   wine2       wine2                  1
     93   wine2       wine2                  1
     94   wine1       wine1                  1
     95   wine1       wine1                  1
     96   wine2       wine2                  1
     97   wine1       wine1                  1
     98   wine1       wine1                  1
     99   wine2       wine2                  1
    100   wine1       wine1                  1

*** Era  3  ***
=== Predictions on test data ===

  inst# actual  predicted  error prediction
      1   wine1       wine1                  1
      2   wine1       wine1                  1
      3   wine2       wine2                  1
      4   wine1       wine1                  1
      5   wine1       wine1                  1
